user_id,competency_id,current_level,level_status,confidence,assessed_at,source,source_id,provenance,source_type,created_at,updated_at
USR-001,COMP-SAMPLING,2,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-001,COMP-002,2,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-001,COMP-003,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-001,COMP-004,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-001,COMP-005,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-001,COMP-006,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-001,COMP-007,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-001,COMP-016,2,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-001,COMP-017,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-002,COMP-008,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-002,COMP-009,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-002,COMP-003,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-003,COMP-010,2,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-003,COMP-009,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-003,COMP-003,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-003,COMP-011,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-004,COMP-012,4,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-004,COMP-009,4,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-004,COMP-003,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-004,COMP-016,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-004,COMP-017,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-004,COMP-018,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-004,COMP-014,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-011,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-013,2,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-014,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-015,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-005,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-016,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-017,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-018,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-009,4,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-005,COMP-003,4,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-006,COMP-SAMPLING,3,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-006,COMP-011,,UNKNOWN,,,WITHHELD,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-006,COMP-009,4,KNOWN,0.82,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-007,COMP-SAMPLING,4,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-007,COMP-002,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-007,COMP-003,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-007,COMP-004,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-007,COMP-005,4,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-007,COMP-006,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-007,COMP-007,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
USR-007,COMP-016,3,KNOWN,0.9,2026-09-01T09:00:00Z,SIMULATED_MANAGER_VALIDATION,SRC-MOCK,SYNTHETIC,SYNTHETIC,2026-09-06T14:52:00Z,2026-09-06T14:52:00Z
